"Squad","Player","Pos","Age","90s","Tackles-Tkl","Tackles-TklW","Tackles-Def3rd","Tackles-Mid3rd","Tackles-Att3rd","Challenges-Tkl","Challenges-Att","Challenges-Tkl","Challenges-Lost","Blocks","Blocks-Sh","Blocks-Pass","Int","Tkl+Int","Clr","Err"
"Morocco","Sofyan Amrabat","MF",25,7.3,16,10,15,1,0,9,14,64.3,5,2,1,1,6,22,10,0
"Morocco","Hakim Ziyech","FW",29,7.1,10,7,4,5,1,4,11,36.4,7,10,0,10,10,20,4,1
"Morocco","Achraf Hakimi","DF",23,7,26,17,15,10,1,17,28,60.7,11,7,1,6,9,35,12,0
"Morocco","Youssef EnNesyri","FW",25,6,3,2,2,1,0,0,2,0,2,5,0,5,1,4,11,0
"Morocco","Sofiane Boufal","FW",28,5.3,11,5,7,4,0,3,6,50,3,9,0,9,2,13,1,0
"Morocco","Yassine Bounou","GK",31,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
"Morocco","Azzedine Ounahi","MF",22,6.3,9,8,4,5,0,7,9,77.8,2,5,1,4,7,16,2,0
"Morocco","Romain Saiss","DF",32,5.2,5,2,2,2,1,2,5,40,3,3,1,2,3,8,30,1
"Morocco","Noussair Mazraoui","DF",24,4.1,14,9,8,4,2,8,11,72.7,3,6,1,5,1,15,16,0
"Morocco","Selim Amallah","MF",25,4.5,13,9,4,6,3,6,11,54.5,5,6,1,5,8,21,3,0
"Morocco","Nayef Aguerd","DF",26,3.9,4,2,4,0,0,2,2,100,0,3,2,1,4,8,12,0
"Morocco","Jawad El Yamiq","DF",30,3.4,4,2,4,0,0,3,3,100,0,6,6,0,5,9,17,0
"Morocco","Yahya Attiat Allah","DF",27,3.5,4,2,3,1,0,3,7,42.9,4,4,0,4,0,4,15,0
"Morocco","Achraf Dari","DF",23,2.1,1,0,1,0,0,1,3,33.3,2,7,4,3,5,6,9,0
"Morocco","Abdelhamid Sabiri","MF",25,2,3,1,1,2,0,2,6,33.3,4,3,1,2,5,8,3,0
"Morocco","Munir","GK",33,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"Morocco","Bilal El Khannous","MF",18,0.6,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,1,3,2,2,1,0,1,1,100,0,4,1,3,0,3,3,0
"Morocco","Zakaria Aboukhlal","FW,MF",22,0.9,1,1,0,1,0,0,1,0,1,2,0,2,1,2,1,0
"Morocco","Abderrazak Hamdallah","FW",31,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
"Morocco","Walid Cheddira","FW",24,0.7,1,0,0,1,0,0,0,,0,0,0,0,0,1,2,0
