"Squad","Player","Pos","Age","90s","SCA","SCA90","SCA-PassLive","SCA-PassDead","SCA-TO","SCA-Sh","SCA-Fld","SCA-Def","GCA","GCA90","GCA-PassLive","GCA-PassDead","GCA-TO","GCA-Sh","GCA-Fld","GCA-Def"
"Morocco","Sofyan Amrabat","MF",25,7.3,6,0.86,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Hakim Ziyech","FW",29,7.1,20,2.97,11,6,3,0,0,0,3,0.45,2,0,1,0,0,0
"Morocco","Achraf Hakimi","DF",23,7,14,2.1,12,0,1,0,1,0,1,0.15,1,0,0,0,0,0
"Morocco","Youssef EnNesyri","FW",25,6,3,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Sofiane Boufal","FW",28,5.3,15,2.84,12,0,1,1,1,0,0,0,0,0,0,0,0,0
"Morocco","Yassine Bounou","GK",31,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Azzedine Ounahi","MF",22,6.3,16,2.54,11,0,2,2,1,0,1,0.16,1,0,0,0,0,0
"Morocco","Romain Saiss","DF",32,5.2,1,0.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Noussair Mazraoui","DF",24,4.1,2,0.49,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Selim Amallah","MF",25,4.5,8,1.76,6,0,0,0,2,0,0,0,0,0,0,0,0,0
"Morocco","Nayef Aguerd","DF",26,3.9,3,0.76,3,0,0,0,0,0,1,0.25,1,0,0,0,0,0
"Morocco","Jawad El Yamiq","DF",30,3.4,1,0.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Yahya Attiat Allah","DF",27,3.5,7,2.18,6,0,0,0,1,0,2,0.62,1,0,0,0,1,0
"Morocco","Achraf Dari","DF",23,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Abdelhamid Sabiri","MF",25,2,4,2.4,2,1,0,1,0,0,1,0.6,0,1,0,0,0,0
"Morocco","Munir","GK",33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Bilal El Khannous","MF",18,0.6,1,1.64,0,0,0,0,1,0,1,1.64,0,0,0,0,1,0
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,1,4,5.63,2,0,1,1,0,0,0,0,0,0,0,0,0,0
"Morocco","Zakaria Aboukhlal","FW,MF",22,0.9,1,1.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Abderrazak Hamdallah","FW",31,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Walid Cheddira","FW",24,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Badr Banoun","DF",28,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Ilias Chair","MF",24,0.5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Anass Zaroury","FW",21,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Yahya Jabrane","MF",30,0.2,,,,,,,,,,,,,,,,
"France","Aurelien Tchouameni","MF",22,6.9,13,1.98,10,1,1,1,0,0,0,0,0,0,0,0,0,0
"France","Kylian Mbappe","FW",23,6.6,46,7.29,28,1,7,8,2,0,11,1.74,7,0,0,4,0,0
"France","Hugo Lloris","GK",35,6.3,1,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"France","Antoine Griezmann","MF",31,6,33,5.53,19,12,0,2,0,0,3,0.5,3,0,0,0,0,0
"France","Raphael Varane","DF",29,5.8,2,0.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Ousmane Dembele","FW",25,4.8,17,3.53,16,0,0,0,1,0,3,0.62,3,0,0,0,0,0
"France","Olivier Giroud","FW",35,4.7,5,1.08,4,0,0,1,0,0,1,0.22,1,0,0,0,0,0
"France","Theo Hernandez","DF",24,5.6,17,3.01,17,0,0,0,0,0,3,0.53,3,0,0,0,0,0
"France","Adrien Rabiot","MF",27,5.4,11,2.05,10,0,0,1,0,0,1,0.19,1,0,0,0,0,0
"France","Jules Kounde","DF",23,5.3,5,0.94,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0
"France","Dayot Upamecano","DF",23,5.3,13,2.6,12,0,0,1,0,0,3,0.6,3,0,0,0,0,0
"France","Ibrahima Konate","DF",23,3.3,4,1.26,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"France","Youssouf Fofana","MF",23,2.5,3,1.34,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"France","Randal Kolo Muani","FW",23,2,1,0.59,0,0,0,0,1,0,1,0.59,0,0,0,0,1,0
"France","Kingsley Coman","FW,MF",26,1.9,4,2.59,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"France","Eduardo Camavinga","DF",19,1.6,2,1.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"France","Axel Disasi","DF",24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Steve Mandanda","GK",37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Benjamin Pavard","DF",26,1,1,1.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Matteo Guendouzi","FW,MF",23,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Jordan Veretout","MF",29,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Lucas Hernandez","DF",26,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
