Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Group
Morocco,3,2,1,0,4,1,3,7,2.4,2.8,-0.5,-0.15,F
Croatia,3,1,2,0,4,1,3,5,3.8,3.8,0,-0.01,F
Belgium,3,1,1,1,1,2,-1,4,4.7,4.6,0.2,0.05,F
Canada,3,0,0,3,2,7,-5,0,4.2,3.9,0.3,0.11,F
Argentina,3,2,0,1,5,2,3,6,6,0.7,5.2,1.74,C
Poland,3,1,1,1,2,2,0,4,2.8,5.9,-3.1,-1.04,C
Mexico,3,1,1,1,2,3,-1,4,3.3,2.4,0.9,0.3,C
Saudi Arabia,3,1,0,2,3,5,-2,3,3,6,-3,-1.01,C
France,3,2,0,1,6,3,3,6,7.2,1.6,5.5,1.85,D
Australia,3,2,0,1,3,4,-1,6,1.7,5.6,-3.9,-1.29,D
Tunisia,3,1,1,1,1,1,0,4,2.3,2.8,-0.5,-0.17,D
Denmark,3,0,1,2,1,3,-2,1,2.7,3.9,-1.2,-0.39,D
