"Squad","Player","Pos","Age","90s","Perf_CrdY","Perf_CrdR","Perf_2CrdY","Perf_Fls","Perf_Fld","Perf_Off","Perf_Crs","Perf_Int","Perf_TklW","Perf_PKwon","Perf_PKcon","Perf_OG","Perf_Recov","AerialDuels_Won","AerialDuels_Lost","AerialDuels_Won%"
"Morocco","Sofyan Amrabat","MF",25,7.3,1,0,0,14,6,1,2,6,10,0,0,0,57,2,3,40
"Morocco","Hakim Ziyech","FW",29,7.1,0,0,0,12,7,2,30,10,7,0,0,0,29,3,6,33.3
"Morocco","Achraf Hakimi","DF",23,7,0,0,0,6,13,0,12,9,17,0,0,0,46,5,8,38.5
"Morocco","Youssef En-Nesyri","FW",25,6,0,0,0,2,4,4,0,1,2,0,0,0,13,21,14,60
"Morocco","Sofiane Boufal","FW",28,5.3,1,0,0,11,14,2,7,2,5,0,0,0,20,3,7,30
"Morocco","Yassine Bounou","GK",31,6.3,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100
"Morocco","Azzedine Ounahi","MF",22,6.3,1,0,0,3,13,1,3,7,8,0,0,0,38,1,3,25
"Morocco","Romain Saiss","DF",32,5.2,1,0,0,4,0,2,1,3,2,0,0,0,28,7,0,100
"Morocco","Noussair Mazraoui","DF",24,4.1,0,0,0,3,1,1,2,1,9,0,0,0,21,1,3,25
"Morocco","Selim Amallah","MF",25,4.5,1,0,0,11,8,0,2,8,9,0,0,0,12,2,9,18.2
"Morocco","Nayef Aguerd","DF",26,3.9,0,0,0,2,0,1,0,4,2,0,0,1,18,5,2,71.4
"Morocco","Jawad El Yamiq","DF",30,3.4,0,0,0,1,4,0,0,5,2,0,0,0,20,6,1,85.7
"Morocco","Yahya Attiat Allah","DF",27,3.5,0,0,0,8,3,0,8,0,2,0,0,0,21,0,7,0
"Morocco","Achraf Dari","DF",23,2.1,1,0,0,2,1,0,0,5,0,0,0,0,10,5,5,50
"Morocco","Abdelhamid Sabiri","MF",25,2,1,0,0,2,3,0,1,5,1,0,0,0,7,2,2,50
"Morocco","Munir","GK",33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Morocco","Bilal El Khannous","MF",18,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,1,0,0,0,4,0,0,1,0,2,0,0,0,4,1,2,33.3
