"Squad","Player","Pos","Age","90s","Total-Cmp","Total-Att","Total-Cmp%","Total-TotDist","Total-PrgDist","Short-Cmp","Short-Att","Short-Cmp%","Medium-Cmp","Medium-Att","Medium-Cmp%","Long-Cmp","Long-Att","Long-Cmp%","Ast","xAG","xA","A-xAG","KP","OneThird","PPA","CrsPA","PrgP"
"Morocco","Sofyan Amrabat","MF",25,7.3,269,322,83.5,4620,1365,114,129,88.4,123,136,90.4,24,36,66.7,0,0.1,0.1,"+AC0-0.1",2,10,1,0,28
"Morocco","Hakim Ziyech","FW",29,7.1,211,306,69,3462,987,118,139,84.9,57,79,72.2,27,62,43.5,1,0.7,0.5,0.3,7,16,7,0,28
"Morocco","Achraf Hakimi","DF",23,7,312,382,81.7,4121,1792,207,232,89.2,63,80,78.8,19,32,59.4,1,0.5,0.6,0.5,6,14,6,5,20
"Morocco","Youssef EnNesyri","FW",25,6,50,81,61.7,646,119,26,37,70.3,14,23,60.9,3,6,50,0,0,0,0,1,3,0,0,1
"Morocco","Sofiane Boufal","FW",28,5.3,99,133,74.4,1645,469,58,71,81.7,25,36,69.4,12,17,70.6,0,0.3,0.5,0.3,4,10,6,2,18
"Morocco","Yassine Bounou","GK",31,6.3,154,209,73.7,4346,3101,29,29,100,82,84,97.6,43,94,45.7,0,0,0,0,0,0,0,0,0
"Morocco","Azzedine Ounahi","MF",22,6.3,216,265,81.5,3026,786,134,150,89.3,63,74,85.1,13,20,65,0,0.5,0.4,0.5,6,20,6,0,26
"Morocco","Romain Saiss","DF",32,5.2,159,199,79.9,3400,1479,44,47,93.6,89,102,87.3,24,46,52.2,0,0,0,0,0,8,1,0,9
"Morocco","Noussair Mazraoui","DF",24,4.1,98,121,81,1540,571,53,57,93,36,43,83.7,7,16,43.8,0,0,0.1,0,1,2,1,1,5
"Morocco","Selim Amallah","MF",25,4.5,65,87,74.7,840,176,42,48,87.5,17,23,73.9,3,9,33.3,0,0.1,0.1,0.1,3,4,2,0,4
"Morocco","Nayef Aguerd","DF",26,3.9,137,158,86.7,2659,996,53,57,93,64,68,94.1,20,31,64.5,0,0,0,0,1,3,0,0,3
"Morocco","Jawad El Yamiq","DF",30,3.4,146,164,89,2260,940,79,87,90.8,61,64,95.3,6,12,50,0,0,0,0,0,2,0,0,5
"Morocco","Yahya Attiat Allah","DF",27,3.5,98,137,71.5,1593,728,46,54,85.2,41,56,73.2,9,18,50,1,1.2,0.3,0.2,5,4,4,4,9
"Morocco","Achraf Dari","DF",23,2.1,99,111,89.2,1812,752,37,39,94.9,55,57,96.5,7,13,53.8,0,0,0,0,0,3,0,0,3
"Morocco","Abdelhamid Sabiri","MF",25,2,45,58,77.6,690,122,30,33,90.9,7,13,53.8,7,10,70,1,0.9,0.1,0.1,3,3,0,0,1
"Morocco","Munir","GK",33,1,19,28,67.9,597,413,2,2,100,10,10,100,7,16,43.8,0,0,0,0,0,0,0,0,0
"Morocco","Bilal El Khannous","MF",18,0.6,20,24,83.3,337,67,8,9,88.9,5,5,100,3,3,100,0,0,0,0,0,1,0,0,3
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,1,10,13,76.9,118,38,8,9,88.9,2,2,100,0,2,0,0,0.3,0.4,0.3,2,0,0,0,2
"Morocco","Zakaria Aboukhlal","FW,MF",22,0.9,7,14,50,88,22,5,8,62.5,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,1
"Morocco","Abderrazak Hamdallah","FW",31,0.8,8,15,53.3,64,11,7,9,77.8,0,4,0,0,0,,0,0,0,0,0,1,0,0,0
"Morocco","Walid Cheddira","FW",24,0.7,4,8,50,51,28,4,4,100,0,3,0,0,0,,0,0,0,0,0,1,0,0,3
"Morocco","Badr Banoun","DF",28,0.6,21,22,95.5,400,110,7,7,100,11,11,100,3,4,75,0,0,0,0,0,0,0,0,1
"Morocco","Ilias Chair","MF",24,0.5,13,15,86.7,188,54,8,8,100,4,5,80,1,2,50,0,0,0,0,0,1,0,0,0
"Morocco","Anass Zaroury","FW",21,0.3,8,13,61.5,92,10,5,5,100,2,3,66.7,0,2,0,0,0,0,0,0,1,0,0,0
"Morocco","Yahya Jabrane","MF",30,0.2,,,,,,,,,,,,,,,0,,,,,,,,
"France","Aurelien Tchouameni","MF",22,6.9,424,474,89.5,7447,1871,183,196,93.4,205,221,92.8,30,42,71.4,0,1,0.4,1,6,48,3,0,50
