"Squad","Player","Pos","Age","MP","Min","Mn/MP","Min%","90s","Starts","Starts-Mn/Start","Starts-Compl","Subs-Subs","Subs-Mn/Sub","Subs-unSub","TeamSuccess-PPM","TeamSuccess-onG","TeamSuccess-onGA","TeamSuccess-PlusMinus","TeamSuccess-PlusMinus/90","TeamSuccess-OnOff","TeamSuccess(xG)-onxG","TeamSuccess(xG)-onxGA","TeamSuccess(xG)-xGPlusMinus","TeamSuccess(xG)-PlusMinus/90","TeamSuccess(xG)-OnOff"
"Morocco","Sofyan Amrabat","MF",25,7,660,94,100,7.3,7,94,7,0,,0,1.57,6,5,1,0.14,,6.6,7.4,-0.8,-0.12,-0.12
"Morocco","Hakim Ziyech","FW",29,7,635,91,96.2,7.1,7,91,5,0,,0,1.57,6,5,1,0.14,0.14,6,7.2,-1.1,-0.17,-0.72
"Morocco","Achraf Hakimi","DF",23,7,631,90,95.6,7,7,90,5,0,,0,1.57,4,5,-1,-0.14,-6.35,5.3,7.4,-2.1,-0.31,-2.21
"Morocco","Youssef En-Nesyri","FW",25,7,542,77,82.1,6,7,77,2,0,,0,1.57,4,4,0,0,-0.76,3.7,5.4,-1.7,-0.28,-0.94
"Morocco","Sofiane Boufal","FW",28,7,475,68,72,5.3,7,68,0,0,,0,1.57,4,4,0,0,-0.49,3.3,4.4,-1.1,-0.21,-0.35
"Morocco","Yassine Bounou","GK",31,6,570,95,86.4,6.3,6,95,6,0,,1,1.33,4,5,-1,-0.16,-2.16,5.1,6.5,-1.3,-0.22,-0.62
"Morocco","Azzedine Ounahi","MF",22,7,568,81,86.1,6.3,6,89,2,1,35,0,1.57,4,3,1,0.16,0.16,5.4,6.7,-1.4,-0.22,-0.78
"Morocco","Romain Saiss","DF",32,6,466,78,70.6,5.2,6,78,4,0,,1,1.83,5,2,3,0.58,0.51,4,4.3,-0.4,-0.07,0.11
"Morocco","Noussair Mazraoui","DF",24,5,365,73,55.3,4.1,5,73,2,0,,0,1.6,4,2,2,0.49,0.8,2.7,4.2,-1.5,-0.37,-0.58
"Morocco","Selim Amallah","MF",25,7,409,58,62,4.5,4,75,1,3,36,0,1.57,1,0,1,0.22,0.22,2.2,4.4,-2.2,-0.48,-0.98
"Morocco","Nayef Aguerd","DF",26,4,353,88,53.5,3.9,4,88,3,0,,2,2,4,1,3,0.76,0.35,2.6,3.2,-0.6,-0.14,-0.07
"Morocco","Jawad El Yamiq","DF",30,6,309,52,46.8,3.4,3,82,2,3,21,1,1.67,3,4,-1,-0.29,-0.8,4.1,4,0.1,0.04,0.26
"Morocco","Yahya Attiat Allah","DF",27,6,318,53,48.2,3.5,2,90,2,4,35,1,1.33,4,3,1,0.28,0.28,5.1,3.2,0.9,0.6,0.27
"Morocco","Achraf Dari","DF",23,3,187,62,28.3,2.1,2,77,1,1,34,4,1,1,4,-3,-1.44,-2.2,2.3,3.1,-0.8,-0.37,-0.37
"Morocco","Abdelhamid Sabiri","MF",25,5,181,36,27.4,2,2,55,0,3,24,2,1.6,5,3,2,0.99,0.18,3.1,1.6,0.5,0.9,0.3
