"Squad","Player","Pos","Age","90s","Touches","Touches-Def Pen","Touches-Def 3rd","Touches-Mid 3rd","Touches-Att 3rd","Touches-Att Pen","Touches-Live","Take-Ons-Att","Take-Ons-Succ","Take-Ons-Succ%","Take-Ons-Tkld","Take-Ons-Tkld%","Carries","Carries-TotDist","Carries-PrgDist","Carries-PrgC","Carries-1/3","Carries-CPA","Carries-Mis","Carries-Dis","Receiving-Rec","Receiving-PrgR"
"Morocco","Sofyan Amrabat","MF",25,7.3,382,23,143,224,18,0,382,5,0,0,2,40,249,1453,780,9,2,0,9,3,241,0
"Morocco","Hakim Ziyech","FW",29,7.1,391,3,71,186,135,8,391,29,12,41.4,16,55.2,256,1475,677,20,17,3,15,11,267,31
"Morocco","Achraf Hakimi","DF",23,7,482,25,186,189,115,14,482,15,2,13.3,9,60,274,1325,735,10,10,4,17,8,279,24
"Morocco","Youssef EnNesyri","FW",25,6,129,13,37,62,30,13,129,8,5,62.5,3,37.5,50,157,44,2,2,2,9,1,71,14
"Morocco","Sofiane Boufal","FW",28,5.3,200,3,29,95,78,11,200,27,14,51.9,10,37,138,942,563,21,18,3,14,5,144,26
"Morocco","Yassine Bounou","GK",31,6.3,218,184,216,2,0,0,218,0,0,,0,,122,669,289,0,0,0,0,0,100,0
"Morocco","Azzedine Ounahi","MF",22,6.3,330,4,79,185,71,8,330,13,10,76.9,2,15.4,237,1350,664,16,12,1,16,7,243,19
"Morocco","Romain Saiss","DF",32,5.2,247,51,164,84,3,1,247,2,1,50,1,50,145,772,447,1,1,0,0,0,138,0
"Morocco","Noussair Mazraoui","DF",24,4.1,176,15,80,69,29,1,176,5,1,20,3,60,87,325,125,1,1,0,6,1,80,9
"Morocco","Selim Amallah","MF",25,4.5,147,5,30,88,29,5,147,7,1,14.3,2,28.6,81,381,138,3,4,1,15,5,81,7
"Morocco","Nayef Aguerd","DF",26,3.9,184,41,131,53,1,1,184,0,0,,0,,123,559,265,0,0,0,1,0,118,0
"Morocco","Jawad El Yamiq","DF",30,3.4,202,29,119,80,3,3,202,0,0,,0,,128,668,312,0,1,0,2,0,121,0
"Morocco","Yahya Attiat Allah","DF",27,3.5,169,16,77,66,27,5,169,2,0,0,0,0,93,526,367,7,2,0,2,2,85,12
"Morocco","Achraf Dari","DF",23,2.1,139,24,84,51,4,1,139,0,0,,0,,88,389,175,0,1,0,0,1,85,0
"Morocco","Abdelhamid Sabiri","MF",25,2,86,5,23,50,13,1,86,3,0,0,3,100,49,192,49,2,1,0,0,3,54,2
"Morocco","Munir","GK",33,1,31,29,31,0,0,0,31,0,0,,0,,13,44,18,0,0,0,0,0,8,0
"Morocco","Bilal El Khannous","MF",18,0.6,29,2,8,13,8,0,29,1,0,0,0,0,17,66,22,0,1,0,1,0,23,2
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,1,40,2,17,9,16,5,40,2,1,50,1,50,21,150,35,1,4,0,9,1,18,6
"Morocco","Zakaria Aboukhlal","FW,MF",22,0.9,26,2,3,10,13,4,26,1,0,0,1,100,14,97,49,1,2,0,3,0,16,0
"Morocco","Abderrazak Hamdallah","FW",31,0.8,27,2,2,14,12,5,27,3,2,66.7,1,33.3,11,123,61,3,2,2,4,3,18,5
"Morocco","Walid Cheddira","FW",24,0.7,19,2,2,10,7,5,19,1,0,0,1,100,8,78,33,1,1,1,3,0,13,4
"Morocco","Badr Banoun","DF",28,0.6,28,5,20,8,0,0,28,0,0,,0,,19,129,82,0,0,0,0,1,19,0
"Morocco","Ilias Chair","MF",24,0.5,18,0,1,12,5,1,18,1,0,0,1,100,15,94,38,3,0,1,0,1,15,2
"Morocco","Anass Zaroury","FW",21,0.3,15,0,1,6,8,0,15,1,1,100,0,0,9,54,30,2,1,0,0,0,10,2
"Morocco","Yahya Jabrane","MF",30,0.2,,,,,,,,,,,,,,,,,,,,,,
"France","Aurelien Tchouameni","MF",22,6.9,532,15,95,372,70,3,532,5,3,60,2,40,353,1771,773,8,8,0,11,0,397,6
"France","Kylian Mbappe","FW",23,6.6,322,0,8,99,223,60,320,52,25,48.1,23,44.2,232,1885,965,40,23,24,21,10,265,79
"France","Hugo Lloris","GK",35,6.3,202,174,201,1,0,0,202,0,0,,0,,92,531,327,0,0,0,0,0,74,0
"France","Antoine Griezmann","MF",31,6,384,11,51,190,147,14,384,10,4,40,5,50,201,987,389,10,4,4,6,9,250,31
