"Squad","Player","Pos","Club","Birth Place","Birth Date","Age","MP","Min","Gls"
"Morocco","Zakaria Aboukhlal","FW,MF","Toulouse","Rotterdam, Netherlands","18-02-2000","22-275",4,79,1
"Morocco","Nayef Aguerd","DF","West Ham","Kenitra, Morocco","30-03-1996","26-235",4,353,0
"Morocco","Selim Amallah","MF","Standard Liege","Hautrage, Belgium","15-11-1996","26-005",7,409,0
"Morocco","Sofyan Amrabat","MF","Fiorentina","Gemeente Huizen, Netherlands","21-08-1996","26-091",7,660,0
"Morocco","Yahya Attiat Allah","DF","Wydad Casablanca","Safi, Morocco","02-03-1995","27-263",6,318,0
"Morocco","Badr Banoun","DF","Qatar SC","Casablanca, Morocco","30-09-1993","29-051",3,54,0
"Morocco","Sofiane Boufal","FW","Angers","Paris, France","17-09-1993","29-064",7,475,0
"Morocco","Yassine Bounou","GK","Sevilla","Montreal, QC, Canada","05-04-1991","31-229",6,570,0
"Morocco","Ilias Chair","MF","QPR","Brugge, Belgium","30-10-1997","25-021",1,45,0
"Morocco","Walid Cheddira","FW","Bari","Loreto, Italy","22-01-1998","24-302",2,64,0
"Morocco","Achraf Dari","DF","Brest","Casablanca, Morocco","06-05-1999","23-198",3,187,1
"Morocco","Youssef En-Nesyri","FW","Sevilla","Fes-Medina, Morocco","01-06-1997","25-172",7,542,2
"Morocco","Abdessamad Ezzalzouli","FW,MF","Osasuna","Beni Mellal, Morocco","17-12-2001","20-338",3,93,0
"Morocco","Achraf Hakimi","DF","Paris S-G","Getafe, Spain","04-11-1998","24-016",7,631,0
"Morocco","Abderrazak Hamdallah","FW","Al-Ittihad","Safi, Morocco","17-12-1990","31-338",4,68,0
"Morocco","Yahya Jabrane","MF","Wydad Casablanca","Settat, Morocco","18-06-1991","31-155",2,15,0
"Morocco","Bilal El Khannous","MF","Genk","Strombeek-Bever, Belgium","10-05-2004","18-194",1,55,0
"Morocco","Noussair Mazraoui","DF","Bayern Munich","Leiderdorp, Netherlands","14-11-1997","25-006",5,365,0
"Morocco","Munir","GK","Al-Wehda","Spain","10-05-1989","33-194",1,90,0
"Morocco","Azzedine Ounahi","MF","Angers","Casablanca, Morocco","19-04-2000","22-215",7,568,0
"Morocco","Ahmed Reda Tagnaouti","GK","Wydad Casablanca","Casablanca, Morocco","05-04-1996","26-229",0,,
"Morocco","Abdelhamid Sabiri","MF","Sampdoria","Goulmima, Morocco","28-11-1996","25-357",5,181,0
