"Squad","Player","Pos","Age","90s","Gls","Sh","SoT","SoT%","Sh/90","SoT/90","G/Sh","G/SoT","Dist","FK","PK","PKatt","xG","npxG","npxG/Sh","G-xG","np:G-xG"
"Morocco","Sofyan Amrabat","MF",25,7.3,0,1,0,0,0.14,0,0,,28.8,0,0,0,0,0,0.03,0,0
"Morocco","Hakim Ziyech","FW",29,7.1,1,10,2,20,1.42,0.28,0.1,0.5,27.2,1,0,0,0.4,0.4,0.04,0.6,0.6
"Morocco","Achraf Hakimi","DF",23,7,0,4,1,25,0.57,0.14,0,0,26.5,1,0,0,0.1,0.1,0.03,-0.1,-0.1
"Morocco","Youssef En-Nesyri","FW",25,6,2,9,3,33.3,1.49,0.5,0.22,0.67,9.1,0,0,0,1.2,1.2,0.14,0.8,0.8
"Morocco","Sofiane Boufal","FW",28,5.3,0,7,1,14.3,1.33,0.19,0,0,21,0,0,0,0.3,0.3,0.04,-0.3,-0.3
"Morocco","Yassine Bounou","GK",31,6.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Morocco","Azzedine Ounahi","MF",22,6.3,0,6,1,16.7,0.95,0.16,0,0,23.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
"Morocco","Romain Saiss","DF",32,5.2,1,1,1,100,0.19,0.19,1,1,0.9,0,0,0,0.8,0.8,0.79,0.2,0.2
"Morocco","Noussair Mazraoui","DF",24,4.1,0,4,2,50,0.99,0.49,0,0,24.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
"Morocco","Selim Amallah","MF",25,4.5,0,2,0,0,0.44,0,0,,13.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2
"Morocco","Nayef Aguerd","DF",26,3.9,0,1,0,0,0.25,0,0,,8,0,0,0,0.2,0.2,0.17,-0.2,-0.2
"Morocco","Jawad El Yamiq","DF",30,3.4,0,2,1,50,0.58,0.29,0,0,12.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
"Morocco","Yahya Attiat Allah","DF",27,3.5,0,2,0,0,0.57,0,0,,13,0,0,0,0.2,0.2,0.11,-0.2,-0.2
"Morocco","Achraf Dari","DF",23,2.1,1,1,1,100,0.48,0.48,1,1,4.1,0,0,0,0.6,0.6,0.63,0.4,0.4
"Morocco","Abdelhamid Sabiri","MF",25,2,0,3,0,0,1.49,0,0,,34.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1
"Morocco","Munir","GK",33,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Morocco","Bilal El Khannous","MF",18,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,1,0,1,0,0,0.97,0,0,,13.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
"Morocco","Zakaria Aboukhlal","FW,MF",22,0.9,1,3,2,66.7,3.42,2.28,0.33,0.5,14.9,0,0,0,1,1,0.33,0,0
"Morocco","Abderrazak Hamdallah","FW",31,0.8,0,2,1,50,2.65,1.32,0,0,7.8,0,0,0,0.4,0.4,0.2,-0.4,-0.4
"Morocco","Walid Cheddira","FW",24,0.7,0,2,1,50,2.81,1.41,0,0,9.8,0,0,0,0.5,0.5,0.23,-0.5,-0.5
"Morocco","Badr Banoun","DF",28,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Morocco","Ilias Chair","MF",24,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Morocco","Anass Zaroury","FW",21,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"Morocco","Yahya Jabrane","MF",30,0.2,0,0,0,,0,0,,,,,0,0,,,,,
"France","Aurelien Tchouameni","MF",22,6.9,1,6,2,33.3,0.87,0.29,0.17,0.5,23.7,0,0,0,0.3,0.3,0.06,0.7,0.7
"France","Kylian Mbappe","FW",23,6.6,8,29,11,37.9,4.36,1.66,0.21,0.55,17.1,1,2,2,5.2,3.6,0.13,2.8,2.4
"France","Hugo Lloris","GK",35,6.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Antoine Griezmann","MF",31,6,0,6,2,33.3,1.01,0.34,0,0,17.6,1,0,0,0.7,0.7,0.11,-0.7,-0.7
"France","Raphael Varane","DF",29,5.8,0,3,0,0,0.52,0,0,,7.2,0,0,0,0.3,0.3,0.12,-0.3,-0.3
"France","Ousmane Dembele","FW",25,4.8,0,8,2,25,1.66,0.42,0,0,20.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5
"France","Olivier Giroud","FW",35,4.7,4,16,6,37.5,3.44,1.29,0.25,0.67,11,0,0,0,3.4,3.4,0.21,0.6,0.6
"France","Theo Hernandez","DF",24,5.6,1,5,2,40,0.89,0.35,0.2,0.5,16.7,0,0,0,0.4,0.4,0.08,0.6,0.6
"France","Adrien Rabiot","MF",27,5.4,1,9,4,44.4,1.68,0.75,0.11,0.25,13.4,0,0,0,1,1,0.12,0,0
"France","Jules Kounde","DF",23,5.3,0,4,1,25,0.75,0.19,0,0,19.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
"France","Dayot Upamecano","DF",23,5.3,0,1,0,0,0.19,0,0,,9.7,0,0,0,0,0,0.05,0,0
"France","Ibrahima Konate","DF",23,3.3,0,2,1,50,0.61,0.31,0,0,7.7,0,0,0,0.4,0.4,0.18,-0.4,-0.4
"France","Youssouf Fofana","MF",23,2.5,0,4,0,0,1.59,0,0,,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
"France","Randal Kolo Muani","FW",23,2,1,4,2,50,1.98,0.99,0.25,0.5,13.2,0,0,0,1.1,1.1,0.28,-0.1,-0.1
"France","Kingsley Coman","FW,MF",26,1.9,0,1,0,0,0.53,0,0,,10.7,0,0,0,0.2,0.2,0.16,-0.2,-0.2
"France","Eduardo Camavinga","DF",19,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Axel Disasi","DF",24,1,0,1,0,0,0.98,0,0,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
"France","Steve Mandanda","GK",37,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Benjamin Pavard","DF",26,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Matteo Guendouzi","FW,MF",23,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Jordan Veretout","MF",29,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
"France","Lucas Hernandez","DF",26,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
