"Squad","Player","Pos","Age","Club","MP","Starts","Min","90s","Gls","Ast","G+A","G-PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG+xAG","PrgC","PrgP","PrgR","Gls/90","Ast/90","G+A/90","G-PK/90","G+A-PK/90","xG/90","xAG/90","xG+xAG/90","npxG/90","npxG+xAG/90"
"Morocco","Sofyan Amrabat","MF",25,"Fiorentina",7,7,660,7.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,9,28,0,0,0,0,0,0,0,0.01,0.01,0,0.01
"Morocco","Hakim Ziyech","FW",29,"Chelsea",7,7,635,7.1,1,1,2,1,0,0,0,0,0.4,0.4,0.7,1.1,20,28,31,0.14,0.14,0.28,0.14,0.28,0.06,0.1,0.16,0.06,0.16
"Morocco","Achraf Hakimi","DF",23,"Paris S-G",7,7,631,7,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,10,20,24,0,0.14,0.14,0,0.14,0.02,0.07,0.09,0.02,0.09
"Morocco","Youssef En-Nesyri","FW",25,"Sevilla",7,7,542,6,2,0,2,2,0,0,0,0,1.2,1.2,0,1.3,2,1,14,0.33,0,0.33,0.33,0.33,0.21,0.01,0.21,0.21,0.21
"Morocco","Sofiane Boufal","FW",28,"Angers",7,7,475,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,21,18,26,0,0,0,0,0,0.05,0.06,0.11,0.05,0.11
"Morocco","Yassine Bounou","GK",31,"Sevilla",6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Azzedine Ounahi","MF",22,"Angers",7,6,568,6.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,16,26,19,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13
"Morocco","Romain Saiss","DF",32,"Besiktas",6,6,466,5.2,1,0,1,1,0,0,1,0,0.8,0.8,0,0.8,1,9,0,0.19,0,0.19,0.19,0.19,0.16,0,0.16,0.16,0.16
"Morocco","Noussair Mazraoui","DF",24,"Bayern Munich",5,5,365,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,5,9,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04
"Morocco","Selim Amallah","MF",25,"Standard Liege",7,4,409,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,4,7,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
"Morocco","Nayef Aguerd","DF",26,"West Ham",4,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,3,0,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
"Morocco","Jawad El Yamiq","DF",30,"Valladolid",6,3,309,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,5,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
"Morocco","Yahya Attiat Allah","DF",27,"Wydad Casablanca",6,2,318,3.5,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,7,9,12,0,0.28,0.28,0,0.28,0.07,0.37,0.44,0.07,0.44
"Morocco","Achraf Dari","DF",23,"Brest",3,2,187,2.1,1,0,1,1,0,0,1,0,0.6,0.6,0,0.6,0,3,0,0.48,0,0.48,0.48,0.48,0.3,0,0.3,0.3,0.3
"Morocco","Abdelhamid Sabiri","MF",25,"Sampdoria",5,2,181,2,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1,2,1,2,0,0.5,0.5,0,0.5,0.08,0.53,0.6,0.08,0.6
"Morocco","Munir","GK",33,"Al-Wehda",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Bilal El Khannous","MF",18,"Genk",1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,"Osasuna",3,0,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,1,2,6,0,0,0,0,0,0.09,0.39,0.49,0.09,0.49
"Morocco","Zakaria Aboukhlal","FW,MF",22,"Toulouse",4,0,79,0.9,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1.14,0,1.14,1.14,1.14,1.16,0,1.16,1.16,1.16
"Morocco","Abderrazak Hamdallah","FW",31,"Al-Ittihad",4,0,68,0.8,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,3,0,5,0,0,0,0,0,0.52,0,0.52,0.52,0.52
"Morocco","Walid Cheddira","FW",24,"Bari",2,0,64,0.7,0,0,0,0,0,0,2,1,0.5,0.5,0,0.5,1,3,4,0,0,0,0,0,1.24,0,1.24,1.24,1.24
"Morocco","Badr Banoun","DF",28,"Qatar SC",3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Morocco","Ilias Chair","MF",24,"QPR",1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
"Morocco","Anass Zaroury","FW",21,"Burnley",1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
"Morocco","Yahya Jabrane","MF",30,"Wydad Casablanca",2,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,
"Morocco","Ahmed Reda Tagnaouti","GK",26,"Wydad Casablanca",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"France","Aurelien Tchouameni","MF",22,"Real Madrid",7,7,621,6.9,1,0,1,1,0,0,1,0,0.3,0.3,1,1.4,8,50,6,0.14,0,0.14,0.14,0.14,0.05,0.16,0.21,0.05,0.21
"France","Kylian Mbappe","FW",23,"Paris S-G",7,6,598,6.6,8,2,10,6,2,2,0,0,5.2,3.6,1.3,5,40,25,79,1.2,0.3,1.51,0.9,1.2,0.82,0.21,1.04,0.58,0.79
"France","Hugo Lloris","GK",35,"Tottenham",6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France","Antoine Griezmann","MF",31,"Atletico Madrid",7,6,537,6,0,3,3,0,0,0,1,0,0.7,0.7,3.1,3.8,10,36,31,0,0.5,0.5,0,0.5,0.11,0.52,0.63,0.11,0.63
"France","Raphael Varane","DF",29,"Manchester Utd",6,6,518,5.8,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,8,7,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
"France","Ousmane Dembele","FW",25,"Barcelona",7,6,433,4.8,0,2,2,0,0,0,1,0,0.5,0.5,1.6,2.1,23,15,45,0,0.42,0.42,0,0.42,0.1,0.34,0.44,0.1,0.44
"France","Olivier Giroud","FW",35,"Milan",6,6,419,4.7,4,0,4,4,0,0,1,0,3.4,3.4,0.1,3.5,1,9,10,0.86,0,0.86,0.86,0.86,0.72,0.03,0.76,0.72,0.76
"France","Theo Hernandez","DF",24,"Milan",6,5,508,5.6,1,2,3,1,0,0,1,0,0.4,0.4,1.2,1.6,18,23,33,0.18,0.35,0.53,0.18,0.53,0.07,0.22,0.29,0.07,0.29
